Merrin Dungey,Dr. Naomi Bennett,2,2007
Paul Perri,Rick's Friend,2,2007
John Getz,Michael Breyers,2,2008
James Immekus,Andrew Langston,2,2008
Zoe Boyle,Clara Ferguson,2,2009
Amy Price-Francis,Susannah Wilson,2,2011
Kathleen Early,Dr. Daisy Pepman,2,2008, 2009
John Cothran,Ken Monroe,2,2008
Debra Mooney,Mrs. Hunt,2,2009, 2010
Chris Lowell,William 'Dell' Parker,2,2007
Kevin Rankin,Jack Vaughan,2,2007
Mae Whitman,Heather Douglas,2,2007
Kathryn Meisle,Liz Monroe,2,2008
Bernadette Peters,Sarabeth Breyers,2,2008
Laura Allen,Beth Whitman,2,2009
Zack Shada,Andy Michaelson,2,2009
Jordan Belfi,Nick,2,2012
Charles Duckworth,Brian,2,2006
Judith Hoag,Rhada Douglas,2,2007
Kimberly Huie,Mary Daltrey,2,2007
Alison La Placa,Mrs. Nolston,2,2007
Theo Rossi,Stan Giamatti,2,2007
Brian Tee,Andy,2,2007
Kathy Baker,Anna Loomis,2,2008
Jason O'Mara,Phillip Robinson,2,2008
Heather Hemmens,Sasha,2,2013
John Bishop,James Carlson,2,2006
Jeffrey Markle,Greg,2,2007
Amber Bela Muse,Laura Lewis,2,2011, 2012
Bruce Beatty,Jerry Hoffman,2,2011
Jana Kramer,Lola,2,2008
Bobby Campo,Brian,2,2013
Elaine Kao,NICU Nurse,2,2005, 2007
Billy Mayo,Rick,2,2007
Paula Weston Solano,OB Nurse,2,2006
Seth Green,Nick Hanscom,2,2007
Derek Phillips,Dale,2,2007
James DuMont,Sheldon Morris,2,2009, 2010
Susan Merson,Lorraine,2,2009
Adam Shapiro,Pete,2,2010
Brian Chenoweth,Scared Guy,2,2007
Bellamy Young,Kathy,2,2007
Jurnee Smollett-Bell,Beth Monroe,2,2008
T'Shaun Barrett,Jon,2,2009, 2011
Kelly McCreary,Dr. Maggie Pierce,2,2014
Keith Sellon-Wright,Surgeon #1,2,2006
Danielle Kennedy,Angry Woman,2,2007
Raphael Sbarge,Paul,2,2007
Stephen Bishop,Firefighter,2,2008
Ameenah Kaplan,Makena,2,2011, 2013
Elizabeth Bond,Kimmie Kepner,2,2013
Shanelle Workman,Sara Giamatti,2,2007
China Anderson,Ruby,2,2010
Rigo Sanchez,Stan the Paramedic,2,2005, 2006
Stephanie Niznik,Carol,2,2007
Paul Norwood,Scared Guy #2,2,2007
Sterling Knight,Kip,2,2008
Leith M. Burke,Dr. McQueen,2,2010, 2012
Justin Benson,Drew Lewis,2,2011, 2012
Grace Bannon,Alice Kepner,2,2013
Regi Davis,Dr. Kevin Fisher,2,2009, 2010
Dale Waddington,OB Resident,2,2010, 2012
Dan Conroy,Robert,2,2011, 2012
Bianca Taylor,Elena,2,2012, 2013
David Paluck,Surgeon #2,2,2006
Madison Leisle,Lisa the Child,2,2007
Jerry Zatarain Jr.,David,2,2008
John Duerler,Grant,2,2013
Emily Happe,Libby Kepner,2,2013
David Anders,Jim,2,2007
Kelli Kirkland,Claire,2,2012, 2013
Christian Alexander,Will,2,2008
Martinez,Don Glazier,2,2013
Becky Wahlstrom,Lisa,2,2007
Evelyn Reese,Grandma,2,2011, 2012
Misha Gonz-Cirkl,Social Worker,2,2013
Sean Abbott,Reverend Drew,2,2013
Yvans Jourdain,Businessman,2,2007
Cameron Watson,Rick,2,2007
Sarah Lilly,Joyce Basche,2,2013
Gary Hershberger,Doug,2,2007
Tom Costello,Seth Lepik,2,2013
Janina Gavankar,Intern Lisa,2,2008
Cynthia Youngblood,ER Nurse,2,2013
Emma Prescott,Lucy Nolston,2,2007
Suzi Hofrichter,Sandra Nolston,2,2007
Mary Joy,Tillie,2,2007
Parker Goris,Garrett Nolston,2,2007
Garon Grigsby,Keith,2,2007
Jane Clark,Nurse,2,2007
Merrel Molly,Resident,2,2009, 2011
Kelly Bacon,Nurse,2,2014
Ochuwa Oghie,Lebo,1 episode,2011
Ever Carradine,Athena,1 episode,2005
Keith David,Lloyd Mackie,1 episode,2005
Alice Lo,Qing Lu,1 episode,2005
Joan McMurtrey,Zoey Glass,1 episode,2005
Brent Sexton,Jerry Frost,1 episode,2005
Skyler Shaye,Katie Bryce,1 episode,2005
Bruce Weitz,Edward Levangie,1 episode,2005
Alex Alexander,Annie Connors,1 episode,2005
Randall Arney,Mr. Bryce,1 episode,2005
Rosanna Arquette,Constance Ferguson,1 episode,2005
Arija Bareikis,Savannah,1 episode,2005
Callum Blue,Viper,1 episode,2005
Lauren Bowles,Alice Franklin,1 episode,2005
Wendy Gazelle,Julie Phillips,1 episode,2005
Angela Goethals,Kelly Roesch,1 episode,2005
Russell Hornsby,Digby Owens,1 episode,2005
Mimi Kennedy,Verna Bradley,1 episode,2005
Brian Kerwin,Holden McKee,1 episode,2005
Scarlett Lam,Ahn,1 episode,2005
Thomas Ian Nicholas,Jeremiah Tate,1 episode,2005
Jenny O'Hara,Nadia's Mother,1 episode,2005
Michelle Ongkingco,Nicole Verma,1 episode,2005
Kevin Rahm,Mr. Duff,1 episode,2005
F.J. Rio,Jorge Cruz,1 episode,2005
Jonathan Scarfe,Hank,1 episode,2005
Carole Cook,Sophie Larson,1 episode,2006
Betty Garrett,Eleanor,1 episode,2006
Stephen Spinella,Malar Pascowitz,1 episode,2006
Timothy Bottoms,Carl Murphy,1 episode,2005
Scott Michael Campbell,Mr. Hubble,1 episode,2005
François Chau,Mr. Chue,1 episode,2005
Valerie Cruz,Zona Cruz,1 episode,2005
Wendy Davis,Holly Adams,1 episode,2005
Jane Galloway Heitz,Annie's Mom,1 episode,2005
Kathryn Joosten,Stephanie Drake,1 episode,2005
Elaine Kagan,Kimberly Griswold,1 episode,2005
Claire Lautier,Shelley Davidson,1 episode,2005
Amanda MacDonald,Claire Rice,1 episode,2005
Don McManus,Samuel Linden,1 episode,2005
Helen Slater,Nadia Shelton,1 episode,2005
Josh Stamberg,Tommy Walker,1 episode,2005
Joseph Lyle Taylor,Weiss,1 episode,2005
Bruce A. Young,Tom Maynard,1 episode,2005
Rae Allen,Ruth,1 episode,2006
Teddy Dunn,Heath Mercer,1 episode,2006
Donovan Leitch Jr.,Rick Friart,1 episode,2006
Mary Kay Place,Olive Warner,1 episode,2006
Mark Pellegrino,Chris,1 episode,2007
Ben Vereen,Archie,1 episode,2007
Miguel Sandoval,Hank,1 episode,2012
Thom Barry,CDC Investigator,1 episode,2013
Hart Bochner,Julian Crest,1 episode,2013
Todd Stashwick,Mr. Kramer,1 episode,2013
Shelley Berman,Jed Sorento,1 episode,2005
Brent Briscoe,Henry Lamott,1 episode,2005
Kim Morgan Greene,Tina Rice,1 episode,2005
Francis Guinan,Mr. Verma,1 episode,2005
Sarah Hagan,Devo Friedman,1 episode,2005
Barry Shabaka Henley,Mr. Patterson,1 episode,2005
Michael Hyatt,Marian Davidson,1 episode,2005
Taylor Nichols,Rick Humphrey,1 episode,2005
Lara Phillips,Mary Levangie,1 episode,2005
Romy Rosemont,Lea Seibert,1 episode,2005
Robbie Troy,Mrs. Bryce,1 episode,2005
Kym Whitley,Yvonne,1 episode,2005
Wayne Wilderson,Bill Adams,1 episode,2005
Jillian Bach,Gretchen,1 episode,2006
Jayne Brook,Gwen Graber,1 episode,2006
Monica Calhoun,Mrs. Wood,1 episode,2006
John Cho,Marshall Stone,1 episode,2006
Ann Cusack,Amy,1 episode,2006
Nancy Linari,Sophie's Daughter,1 episode,2006
Julio Oscar Mechoso,Chuck Eaton,1 episode,2006
Faith Prince,Sonya Cowlman,1 episode,2006
Richard Roundtree,Donald Burke,1 episode,2006
Lauren Tom,Audrey,1 episode,2006
Caroline Aaron,Connie,1 episode,2007
David Denman,Rick Jacobs,1 episode,2007
Brennan Elliott,Dave Krisler,1 episode,2007
Michael McGrady,Stanley Singer,1 episode,2007
Sandra Thigpen,Clara,1 episode,2007
Amy Aquino,Marianne Grandy,1 episode,2008
Glenne Headly,Elizabeth Archer,1 episode,2008
Adrienne Barbeau,Jodie Crawley,1 episode,2009
Tyne Daly,Carolyn Shepherd,1 episode,2009
Sharon Lawrence,Robbie Stevens,1 episode,2009
Larry Sullivan,Dave Young,1 episode,2009
Scott Cohen,Dr. Tom Evans,1 episode,2010
Sarah Paulson,Young Ellis Grey,1 episode,2010
Marion Ross,Betty Donahue,1 episode,2010
Tom Bower,Mr. Schultz,1 episode,2013
Beth Grant,Sheila Olsen,1 episode,2013
Mike Hagerty,Al Keller,1 episode,2013
Andy Milder,Dr. Darryl Nessbaum,1 episode,2013
Sunkrish Bala,Steve Murphy,1 episode,2005
Lukas Behnken,Scott Seibert,1 episode,2005
Andrew Bilgore,Tim Epstein,1 episode,2005
Brian Breithaupt,Mr. Gaston,1 episode,2005
Catherine Dao,Dr. Knox,1 episode,2005
Cynthia Ettinger,Jana,1 episode,2005
Lee Garlington,Fara Linden,1 episode,2005
Michelle Krusiec,Anna Chue,1 episode,2005
Geoffrey Rivas,Stu Vargas,1 episode,2005
Reni Santoni,Mr. Griswold,1 episode,2005
Abigail Breslin,Megan Clover,1 episode,2006
Myndy Crist,Mrs. Hanson,1 episode,2006
Arye Gross,Adam Morris,1 episode,2006
Leisha Hailey,Claire Solomon,1 episode,2006
Roxanne Hart,Dana Seabury,1 episode,2006
Edwin Hodge,Greg Stanton,1 episode,2006
Stephen Lee,Mr. Gibson,1 episode,2006
Omar Metwally,Jesse Fannon,1 episode,2006
John Prosky,Mr. Singleton,1 episode,2006
Jonathan Slavin,Rick,1 episode,2006
Jessica Tuck,Shannon's Mom,1 episode,2006
Arlene Tur,Pamela Calva,1 episode,2006
Fred Ward,Denny Duquette Sr.,1 episode,2006
Michael Boatman,Doug Kendry,1 episode,2007
Rachel Boston,Rachel,1 episode,2007
Stephanie Childers,Nancy Walters,1 episode,2007
Rockmond Dunbar,Sean Brotherton,1 episode,2007
Nicholas Gonzalez,Clark West,1 episode,2007
Eve Gordon,Mary Chapman,1 episode,2007
Matt Lanter,Adam Singer,1 episode,2007
Jason London,Jeff Pope,1 episode,2007
Larry Brandenburg,Arnie Grandy,1 episode,2008
Scott Haven,Randy Begler,1 episode,2008
Carl Lumbly,Kurt Walling,1 episode,2008
Tzi Ma,Mr. Patterson,1 episode,2008
Cheech Marin,Otis Sharon,1 episode,2008
Daniel J. Travanti,Barry Patmore,1 episode,2008
David Bowe,Don,1 episode,2009
James Frain,Tom Crawley,1 episode,2009
Erica Gimpel,Bethany Anderson,1 episode,2009
Joel Grey,Dr. Singer,1 episode,2009
Emily Kuroda,Kendall Sully,1 episode,2009
Audra McDonald,Dr. Naomi Bennett,1 episode,2009
Michael Rady,Mike Shelley,1 episode,2009
Ralph Waite,Irving Waller,1 episode,2009
Tess Harper,Mrs. Nelson,1 episode,2010
Gregg Henry,Dr. Gracie,1 episode,2010
Richard T. Jones,Captain Dan,1 episode,2010
Demi Lovato,Hayley May,1 episode,2010
Glenn Morshower,Walter,1 episode,2010
Pamela Reed,Mrs. Banks,1 episode,2010
Diane Venora,Audrey Taylor,1 episode,2010
Ivar Brogger,Graham Cunningham,1 episode,2012
Tim De Zarn,Santa Claus,1 episode,2012
Ethan Embry,Dr. David Moore,1 episode,2012
Adina Porter,Dr. Ramsey,1 episode,2012
Dale Dickey,Emily 'Gasoline' Bennett,1 episode,2013
Dave Florek,Herman Crum,1 episode,2013
Chris McGarry,Danny Wayne,1 episode,2013
Jordan Wright,Theo,1 episode,2013
Daniel Bess,Pete Willoughby,1 episode,2005
Tom Choi,Fluoroscope Tech,1 episode,2005
Jeff Doucette,Warren Sterman,1 episode,2005
Dennis Gubbins,Paul,1 episode,2005
Brittany Ishibashi,Talia,1 episode,2005
Juliette Jeffers,Mary,1 episode,2005
Joseph Kell,Mr. Rice,1 episode,2005
Katherine LaNasa,Vera Kalpana,1 episode,2005
Kathe Mazur,Mrs. Epstein,1 episode,2005
Lynne Marie Stewart,Pre-op Nurse,1 episode,2005
Ping Wu,Seymour Glass,1 episode,2005
Patti Yasutake,Mrs. Verma,1 episode,2005
Zina Zaflow,Nurse,1 episode,2005
Graham Beckel,Jim Johnson,1 episode,2006
Clare Carey,Nikki Gibson,1 episode,2006
Larry Clarke,Paul,1 episode,2006
Jack Conley,Jasper Hovey,1 episode,2006
Stephanie Faracy,Mrs. Sullivan,1 episode,2006
Becca Gardner,Bex Singleton,1 episode,2006
Albert Hall,Eugene Foote,1 episode,2006
Mark Harelik,Keith Polace,1 episode,2006
Liza Lapira,Noelle Lavatte,1 episode,2006
June Lockhart,Agnes,1 episode,2006
Justina Machado,Anna Nyles,1 episode,2006
Ken Marino,Brad Ackles,1 episode,2006
Peter Paige,Benjamin O'Leary,1 episode,2006
Jesse Plemons,Jake Burton,1 episode,2006
Tim Rhoze,Kyle Booker,1 episode,2006
Michaela Watkins,Nikki Ratlin,1 episode,2006
Marina Black,Sally,1 episode,2007
Rocky Carroll,James,1 episode,2007
Amy Hill,Joanne,1 episode,2007
Stephanie March,Jane,1 episode,2007
Matt McTighe,Vincent,1 episode,2007
Steven M. Porter,Joey,1 episode,2007
Maggie Siff,Ruthie Sales,1 episode,2007
Jessica Stroup,Jillian Miller,1 episode,2007
Dee Wallace,Joan Waring,1 episode,2007
D.B. Woodside,Marcus Kane,1 episode,2007
Bre Blair,Lauren Pailey,1 episode,2008
Paul Dooley,Dr. Walter Tapley,1 episode,2008
John M. Jackson,Kevin Covington,1 episode,2008
Lauri Johnson,Grandma Ruth,1 episode,2008
Joshua Malina,Seth Hammer,1 episode,2008
George Newbern,Stan Mercer,1 episode,2008
Jim Ortlieb,Jack O'Brien,1 episode,2008
Kay Panabaker,Emma Anderson,1 episode,2008
August Schellenberg,Clay Bedonie,1 episode,2008
Tom Verica,Michael Norris,1 episode,2008
Tom Amandes,Charlie Waller,1 episode,2009
Obba Babatundé,David Gates,1 episode,2009
Bill Fagerbakke,Roy Mackinaw,1 episode,2009
Amy Gumenick,Becca Wells,1 episode,2009
Molly Hagan,Jackie,1 episode,2009
Wendy Hoopes,Tricia Shelley,1 episode,2009
Faran Tahir,Isaac,1 episode,2009
Dennis Boutsikaris,Don Taylor,1 episode,2010
Frances Conroy,Eleanor,1 episode,2010
Amanda Foreman,Nora,1 episode,2010
Sara Gilbert,Kim Allen,1 episode,2010
Melinda Page Hamilton,Dr. Jennifer Stanley,1 episode,2010
Chelcie Ross,Dr. Harper Avery,1 episode,2010
Cynthia Stevenson,Ruthie Carlin,1 episode,2010
Ernie Hudson,Dr. Brad McDougall,1 episode,2011
Judith Ivey,Barbara Robbins,1 episode,2011
Lee Majors,Chuck Cain,1 episode,2011
Doris Roberts,Gladys Polcher,1 episode,2011
Ken Weiler,Rob Colvin,1 episode,2011
Rene Auberjonois,Neil Sheridan,1 episode,2012
Elizabeth Franz,Emma Carroll,1 episode,2012
James Le Gros,Jerry,1 episode,2012
Trever O'Brien,Bryan Greenberg,1 episode,2012
Mary Lynn Rajskub,Marion Steiner,1 episode,2012
Andrew James Allen,Colby McKee,1 episode,2005
Michelle Arthur,Brooke,1 episode,2005
Laura Carson,Gloria Savitch,1 episode,2005
Regan Forman,Gwen Hayes,1 episode,2005
Chris Hendrie,Dr. Harry Victor,1 episode,2005
Stacey Hinnen,Mr. Johnson,1 episode,2005
Richard Jenik,Jimmy Shelton,1 episode,2005
Dinah Lee,Grungy Chick,1 episode,2005
Patty McCormack,Rebecca Franklin,1 episode,2005
Janet Rotblatt,Esme Sorento,1 episode,2005
Joseph Sikora,Shane Herman,1 episode,2005
Charles Walker,Dr. Chesney,1 episode,2005
Jennifer Aspen,Elena,1 episode,2006
Jusak Bernhard,Seminar Teacher,1 episode,2006
Alexandra Billings,Donna Gibson,1 episode,2006
Gabriel Casseus,Taylor Tressel,1 episode,2006
Shannon Cochran,Mrs. Singleton,1 episode,2006
Natalie Cole,Sylvia Booker,1 episode,2006
Chris Conner,Mr. Nyles,1 episode,2006
Jill Holden,Naomi Cline,1 episode,2006
Tina Holmes,Rebecca Bloom,1 episode,2006
Jean Louisa Kelly,Rose Ward,1 episode,2006
Sarah Lafleur,Melanie Reynolds,1 episode,2006
Michael Milhoan,Doug Thomas,1 episode,2006
Kenneth Mitchell,Wade Solomon,1 episode,2006
Francesca P. Roberts,Mrs. Bird,1 episode,2006
Matt Roth,Michael,1 episode,2006
Lois Smith,Mrs. Dickerson,1 episode,2006
Pepper Sweeney,Lisa's Dad,1 episode,2006
Debra Christofferson,Elaine,1 episode,2007
Catherine Dent,Cathy Rogerson,1 episode,2007
Tommy Dewey,Mike,1 episode,2007
Miriam Flynn,Gretchen Bitzer,1 episode,2007
James Gammon,Mr. Scofield,1 episode,2007
Joe Holt,Steve Beck,1 episode,2007
Mary-Margaret Humes,Nancy Jennings,1 episode,2007
Brent Jennings,Charles Redford,1 episode,2007
Ronobir Lahiri,Mr. Hanson,1 episode,2007
Amy Landers,Marla Kristler,1 episode,2007
Vicki Lewis,Harriet,1 episode,2007
Bonnie Bartlett,Rosemary Bullard,1 episode,2008
Rosalind Chao,Kathleen Patterson,1 episode,2008
Benny Ciaramello,Darren Covington,1 episode,2008
Colleen Flynn,Nancy Mercer,1 episode,2008
Leslie Grossman,Lauren Hammer,1 episode,2008
Ed Lauter,Timothy Miller,1 episode,2008
Samantha Quan,Shelly Boden,1 episode,2008
John Sloan,David Pailey,1 episode,2008
Regina Taylor,Greta,1 episode,2008
Candace Brown,Milo,1 episode,2009
Erin Cahill,Meg Shelley,1 episode,2009
Zach Gilford,Charlie Lowell,1 episode,2009
Alexie Gilmore,Sarah Freemont,1 episode,2009
Khamani Griffin,Wallace Anderson,1 episode,2009
Erinn Hayes,Cathy Becker,1 episode,2009
Isabella Hofmann,Irene Waller,1 episode,2009
Peter Mackenzie,Warren Kramer,1 episode,2009
Kellie Martin,Julie Zelman,1 episode,2009
Danielle Panabaker,Kelsey Simmons,1 episode,2009
Grant Show,Archer Montgomery,1 episode,2009
Roberto Urbina,Jordan,1 episode,2009
Todd Waring,Tobin,1 episode,2009
José Zúñiga,Anthony Meloy,1 episode,2009
Dan Bucatinsky,Jeffrey,1 episode,2010
Ashley Crow,Linda Cotler,1 episode,2010
Diane Farr,Lila Davis,1 episode,2010
Allan Louis,Ronald Lace,1 episode,2010
Candice Patton,Meg Waylon,1 episode,2010
Missi Pyle,Dr. Nicole Baylow,1 episode,2010
Wendy Raquel Robinson,Gina Thompson,1 episode,2010
Jessica Anne Bogart,Lindsay Colvin,1 episode,2011
Marilu Henner,Mrs. Moser,1 episode,2011
Vedette Lim,Dr. Polly Preston,1 episode,2011
Angela Paton,Martha Elkin,1 episode,2011
Drew Powell,Carl Shatler,1 episode,2011
Patrick Fischler,Jake Steiner,1 episode,2012
Rance Howard,Martin Carroll,1 episode,2012
Holland Roden,Gretchen Shaw,1 episode,2012
Matt Servitto,Florist,1 episode,2012
Lorraine Toussaint,Dr. Fincher,1 episode,2012
Julie Dretzin,Mrs. Hall,1 episode,2013
Wes Ramsey,Jimmy,1 episode,2013
Robert Wisdom,Attorney Hamilton,1 episode,2013
Anne Dudek,Elise Castor,1 episode,2014
Patrick Fabian,Dr. Oliver Lebackes,1 episode,2014
John Rubinstein,Keith Calber,1 episode,2014
Tyrees Allen,Dr. Saltzman,1 episode,2005
Pedro Barreira,Kevin,1 episode,2005
Bill Birch,J.P.,1 episode,2005
Kate Blumberg,Daisy,1 episode,2005
Chad Einbinder,Sam Friedman,1 episode,2005
Yvonne Farrow,Heart Patient's Wife,1 episode,2005
